cve_mun_full,num_dispositivos_home_00_08,num_dispositivos_home_00_05,num_dispositivos_home_primero
16103,87,75,181
14025,87,75,172
28012,87,75,191
20401,87,76,163
04001,86,70,189
05006,86,73,167
12021,86,74,191
24008,86,81,156
16055,86,73,186
15010,85,78,168
24016,85,70,148
20293,85,75,132
20397,85,70,202
01002,85,73,190
25014,85,73,214
19022,85,72,137
28043,85,73,202
16068,85,63,245
30181,84,75,155
15046,84,75,169
15016,84,67,186
15072,84,74,157
25008,84,76,180
14108,83,74,207
26041,83,74,155
19042,82,73,114
21143,82,75,174
15083,82,69,146
20565,82,66,148
15022,82,70,182
13067,82,70,198
14048,81,68,146
18016,80,76,145
29002,80,68,150
32022,80,66,146
23007,80,64,174
05031,80,72,144
29034,80,60,172
19014,80,70,145
22001,79,62,174
12011,79,64,175
21180,79,58,219
15052,78,66,158
32038,78,65,170
30092,78,64,161
11008,78,67,176
30032,78,69,164
32029,78,72,147
16089,77,65,127
20227,77,61,122
16106,77,69,186
30047,77,59,156
30081,77,67,134
25017,77,67,176
15027,76,64,131
18012,76,67,173
26070,76,73,184
10038,76,67,177
30089,76,60,141
19047,76,69,120
15068,76,63,149
15015,76,65,138
29024,75,63,160
13039,75,69,138
21125,75,69,124
22009,74,57,131
21177,74,56,137
30097,74,66,117
16051,74,69,138
15036,74,58,163
30069,74,63,130
29038,73,63,135
14002,73,61,155
14043,73,62,158
14074,73,63,136
24032,73,58,177
15043,72,62,150
31079,72,60,142
18001,72,62,163
21199,72,63,140
15050,72,55,154
30208,72,58,120
06003,71,60,128
14118,71,61,132
13072,71,56,134
30207,71,55,163
14058,71,59,126
20551,71,63,171
07009,71,54,169
31038,70,66,149
20044,70,56,136
14001,70,56,158
31056,70,66,127
30004,70,57,157
29019,69,55,138
07034,69,53,177
11012,68,58,160
08010,68,59,137
14036,68,57,140
05038,67,59,118
11018,67,57,174
30158,67,51,132
30094,67,57,143
14064,66,52,118
05019,66,64,97
08001,66,60,126
21115,66,49,143
29026,66,56,122
16085,66,47,146
11019,66,55,144
27001,66,51,178
19011,65,58,111
20553,65,55,110
14100,65,54,132
16020,65,60,118
10004,65,50,179
14059,65,49,160
14112,65,53,110
16083,65,50,154
14045,64,51,136
30134,64,57,119
08031,64,54,167
32023,64,54,105
14096,64,53,126
30192,64,52,99
32026,64,50,136
16105,63,55,119
17015,62,53,162
20002,62,54,119
16111,62,47,184
13022,62,47,106
14087,62,58,144
16086,62,46,119
19020,62,49,108
29042,62,57,110
21104,61,54,147
17019,61,57,118
14003,61,52,115
21118,61,52,108
16077,61,52,91
16062,61,54,148
14055,60,54,132
12034,60,51,136
31052,60,51,130
15114,60,36,223
30049,60,50,169
27009,59,43,137
15012,59,44,119
07069,59,43,128
08004,58,53,123
21136,58,50,104
21110,58,49,136
14021,58,53,116
14105,58,49,132
15063,58,39,126
16065,58,51,146
24025,58,55,113
20068,58,47,119
13024,57,43,107
15064,57,49,122
15021,57,45,106
17026,57,46,130
06001,57,48,113
30164,57,46,98
29023,57,49,128
14113,57,37,237
21161,57,44,114
30205,57,50,104
16095,57,48,162
30143,57,44,144
21149,56,45,115
10023,56,49,145
04011,56,43,100
29039,56,53,109
13059,55,43,133
07051,55,42,113
21048,55,51,97
26026,55,49,149
20375,54,48,84
16073,54,48,139
17010,54,49,101
30009,54,44,96
15006,53,41,119
13066,53,45,89
32049,53,38,118
21054,53,36,92
29048,53,46,109
24007,53,44,112
15107,53,42,95
29021,52,45,96
13009,52,41,90
06004,52,44,95
32016,52,40,135
13070,52,42,132
16079,52,43,145
15003,52,40,130
30126,51,38,111
08040,51,42,117
13021,51,40,127
21134,51,45,119
31093,51,45,85
18018,51,42,148
10001,51,47,108
16113,51,43,107
21010,51,38,120
28002,50,42,105
21108,50,42,119
30144,50,41,96
14109,50,42,87
25013,50,44,125
01009,50,39,115
24049,49,42,107
18014,49,41,140
29001,49,44,86
20010,49,37,108
07102,49,38,106
11029,49,44,134
20115,49,36,99
11016,48,38,76
21142,48,41,100
21172,48,34,115
31040,48,45,94
10022,48,40,122
13002,48,35,120
14110,48,44,103
11013,48,43,113
21047,48,38,105
21069,48,38,104
14086,48,41,122
21211,48,41,82
07106,48,38,144
30112,48,42,83
28037,48,42,97
30015,48,37,95
16003,47,35,83
21091,47,40,105
13001,47,39,89
17035,47,32,124
24005,47,35,97
16035,47,42,115
30021,47,37,85
10039,47,40,126
16016,47,39,103
15089,47,37,96
24053,46,37,89
14017,46,37,103
12012,46,38,110
30182,46,41,78
20023,46,38,79
16014,46,40,80
29032,46,36,78
26035,45,39,106
16015,45,36,90
15094,45,39,84
24058,45,36,82
16070,45,41,81
17013,45,39,92
16084,44,36,98
20030,44,33,65
07068,44,35,101
20409,44,37,79
16064,44,37,80
16093,44,37,83
29029,44,38,84
08055,44,35,110
16098,44,39,93
30093,43,34,94
04005,43,32,101
20334,43,37,104
20006,43,36,97
20091,43,37,62
16023,43,37,79
20557,43,36,71
07057,43,36,124
17014,42,32,75
14088,42,39,95
18010,42,36,124
07052,42,31,109
24054,42,35,77
30135,42,34,78
32007,42,36,98
21169,41,36,82
30125,41,35,89
13015,41,32,101
30086,41,30,104
16022,41,32,87
18011,41,35,94
13057,41,29,78
30058,41,27,106
15017,41,32,92
16025,41,35,105
16067,40,32,76
14029,40,35,68
24015,40,35,83
16091,40,32,84
20073,40,25,92
12022,40,33,100
20083,40,34,64
21117,40,34,76
12027,40,30,71
12068,40,34,104
16104,40,35,80
20028,39,32,69
21035,39,26,82
14095,39,35,84
15086,39,27,84
30148,39,33,77
24036,39,31,87
21194,39,34,92
14084,39,33,87
30196,39,36,71
28016,39,35,92
13007,39,26,96
15102,39,25,70
30173,38,29,69
30023,38,26,95
21128,38,28,93
07015,38,30,103
32014,38,32,64
16058,38,31,88
14005,38,34,90
14125,38,35,102
27015,38,18,114
20295,37,32,56
12059,37,30,82
12067,37,31,96
08013,37,31,67
15004,37,31,68
15123,37,32,75
07079,37,35,98
30100,37,36,77
32025,37,29,64
13058,37,30,69
30091,36,28,70
28030,36,30,72
24010,36,30,69
30145,36,35,63
21026,36,27,75
15071,36,27,93
30201,36,31,59
26047,36,30,84
26004,36,34,82
07109,35,30,118
20005,35,21,88
26003,35,33,79
30161,35,26,76
15079,35,26,76
13005,35,30,71
24051,35,32,72
14079,35,32,80
15069,35,28,97
20469,35,29,62
30129,34,31,66
05007,34,31,76
12053,34,25,117
20439,34,27,74
25004,34,30,82
15124,34,23,110
30082,34,30,68
19029,34,32,52
08029,34,26,85
17001,34,28,67
12073,34,26,52
21189,34,23,84
30130,34,26,82
30073,34,28,70
16087,34,28,87
10016,33,21,101
04006,33,23,84
18002,33,26,60
24055,33,28,88
14123,33,28,76
13055,33,22,81
32032,33,26,76
12033,33,29,61
13037,33,24,72
10013,33,28,77
16090,33,27,94
07107,33,27,95
30178,33,29,59
26012,33,29,73
01004,33,23,60
21044,33,23,62
32044,33,26,69
16010,33,28,71
08035,32,30,70
16047,32,25,51
17021,32,26,50
29017,32,28,53
13006,32,28,65
21214,32,25,56
21175,32,25,72
28024,32,29,58
13035,32,28,62
14065,32,27,93
20025,31,27,51
11043,31,25,107
24022,31,25,63
28039,31,27,73
18003,31,27,57
24023,31,25,65
24027,31,25,50
29020,31,22,64
08060,31,30,77
13044,31,26,70
13038,31,25,67
32040,31,25,75
30116,31,28,67
16078,31,28,66
29007,30,27,62
20084,30,27,42
16060,30,26,65
21043,30,26,98
07086,30,25,73
16041,30,25,62
16036,30,22,54
08009,30,26,103
06008,30,25,57
13019,30,23,69
20338,30,20,85
26071,30,26,73
15056,29,23,79
21013,29,23,62
29060,29,26,46
24017,29,20,70
26027,29,26,41
12003,29,23,70
01010,29,19,66
25003,29,22,63
30132,29,23,83
29027,29,24,63
08027,29,25,83
12014,28,24,65
12017,28,24,65
21017,28,25,71
15008,28,24,79
32050,28,22,50
14090,28,22,45
21067,28,23,60
30074,28,23,58
12039,28,24,62
30059,28,19,54
30142,28,19,66
30099,28,19,58
16072,28,21,53
25007,28,20,76
10024,28,23,60
15026,28,21,58
07046,28,23,80
32052,27,19,51
31058,27,24,67
16040,27,24,49
29053,27,25,39
29049,27,21,52
10020,27,23,68
16056,27,23,61
04010,27,21,76
12023,27,23,71
07032,27,22,59
26039,27,25,89
19034,27,24,82
16030,27,22,70
17016,27,23,68
15049,27,20,55
14068,27,22,62
11038,27,21,55
21065,27,19,42
16033,27,18,68
21144,27,20,73
15032,27,18,78
30157,27,24,43
07087,27,21,93
10035,27,25,75
22010,27,20,72
31002,26,23,55
21151,26,22,42
16002,26,22,71
16024,26,18,50
29008,26,22,48
14092,26,24,49
20545,26,20,53
30083,26,21,55
21163,26,21,56
29050,25,19,58
19002,25,20,43
29014,25,20,63
24042,25,22,53
31091,25,20,60
16008,25,23,49
20305,25,18,68
07037,25,19,81
15038,25,19,44
11022,25,19,63
31027,25,22,42
08038,25,19,43
32057,25,20,65
11036,25,19,47
08053,25,21,41
20570,25,22,69
07099,25,21,111
28014,25,22,52
21124,25,23,56
15119,25,17,42
20145,25,21,36
15111,24,17,103
26038,24,21,46
25016,24,20,97
21153,24,16,62
29058,24,21,51
10036,24,17,62
07124,24,15,74
24046,24,25,58
29059,24,19,62
16017,24,23,73
07031,24,21,52
24056,24,16,57
20539,24,17,48
21082,24,17,52
07048,24,20,54
30121,24,19,70
31026,24,23,33
32045,24,19,47
30075,24,22,53
21191,24,19,46
24018,24,19,49
12049,23,23,39
16080,23,19,57
16042,23,20,81
13046,23,17,83
26023,23,23,38
16011,23,19,55
24001,23,18,46
14014,23,16,44
32031,23,17,34
20559,23,15,50
32053,23,16,59
05023,23,21,52
26016,23,22,49
20178,22,16,41
15097,22,19,70
32054,22,17,43
30051,22,17,50
14107,22,20,40
12052,22,17,52
11024,22,19,62
17027,22,20,38
07054,22,15,58
15007,22,19,51
21098,22,19,50
12006,22,20,36
16028,22,20,40
21173,22,17,41
12018,22,19,43
21185,22,18,37
21205,22,17,57
21179,22,19,75
13064,22,17,40
21157,22,15,45
30022,22,15,68
30114,22,19,52
20298,22,17,42
15105,21,14,77
32011,21,19,29
30066,21,17,54
12064,21,14,27
17032,21,16,47
12077,21,16,49
15061,21,14,53
32009,21,20,45
05036,21,17,44
21122,21,20,33
16097,21,15,77
19032,21,16,41
14041,21,17,41
29056,21,17,32
14102,21,19,41
19008,21,18,37
30070,21,14,37
13073,21,16,73
32047,21,19,41
20124,21,17,39
10021,21,14,47
30072,21,16,41
21170,21,18,71
08003,20,18,41
14049,20,16,41
07013,20,18,54
17005,20,15,42
20026,20,18,38
28017,20,18,53
07008,20,13,72
26066,20,18,44
20427,20,16,51
05037,20,17,35
21166,20,18,56
31048,20,18,58
21038,20,14,48
15080,20,16,61
